"year","month","anomaly"
1871,9,-0.453
1872,9,-0.128
1873,9,-0.355
1874,9,-0.204
1875,9,-0.268
1876,9,-0.436
1877,9,0.028
1878,9,0.017
1879,9,-0.215
1880,9,-0.235
1881,9,-0.24
1882,9,-0.156
1883,9,-0.279
1884,9,-0.346
1885,9,-0.329
1886,9,-0.432
1887,9,-0.337
1888,9,-0.219
1889,9,-0.381
1890,9,-0.473
1891,9,-0.193
1892,9,-0.325
1893,9,-0.43
1894,9,-0.458
1895,9,-0.284
1896,9,-0.109
1897,9,-0.135
1898,9,-0.332
1899,9,-0.136
1900,9,-0.23
1901,9,-0.343
1902,9,-0.361
1903,9,-0.518
1904,9,-0.478
1905,9,-0.313
1906,9,-0.385
1907,9,-0.405
1908,9,-0.454
1909,9,-0.398
1910,9,-0.441
1911,9,-0.511
1912,9,-0.557
1913,9,-0.426
1914,9,-0.255
1915,9,-0.128
1916,9,-0.335
1917,9,-0.125
1918,9,-0.243
1919,9,-0.239
1920,9,-0.139
